Address,Amount
0xaaa2da255df9ee74c7075bcb6d81f97940908a5d,331
0xe2a83b15fc300d8457eb9e176f98d92a8ff40a49,277
0xf395767ae0e947504651a33ac2899520c551955d,203
0x7285e8f0186a0a41e73cef7603ad7b80a2d5a793,196
0x29469395eaf6f95920e59f858042f0e28d98a20b,176
0x00000000b3daca9d0452fd19b121e6484def1140,110
0x440bcc7a1cf465eafabae301d1d7739cbfe09dda,107
0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76,106
0x08c1ae7e46d4a13b766566033b5c47c735e19f6f,91
0xe3199072644455d19f58b1fd8106ac80b3d2e780,76
0xdbfd76af2157dc15ee4e57f3f942bb45ba84af24,65
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,53
0x76c1cfe708ed1d2ff2073490727f3301117767e9,50
0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206,49
0x68a24ab6dc7e2f8dedd2993eb178a68e0b7473d4,48
0x66664cbab1d5cf6b0c85dbcc71829812e27f7f4c,48
0xf02e86d9e0efd57ad034faf52201b79917fe0713,32
0x720a4fab08cb746fc90e88d1924a98104c0822cf,31
0xa87709fa414310af99b178ce5ae71c4870024b75,31
0x7a9fe22691c811ea339d9b73150e6911a5343dca,30
0xd66f8eaf84b11654a19126a98a3f55b960846dd8,28
0xf22742f06e4f6d68a8d0b49b9f270bb56affab38,28
0x1cfb8a2e4c2e849593882213b2468e369271dad2,27
0xaf184b4cbc73a9ca2f51c4a4d80ed67a2578e9f4,26
0xca1257ade6f4fa6c6834fdc42e030be6c0f5a813,25
0xbb05f71952b30786d0ac7c7a8fa045724b8d2d69,25
0xe67112647b7aea8b7490f27e1c75208868138df2,25
0x75458d98b55680c2ef535c7c526ff5a25b963188,22
0x0ba40aa51b2acde113c173337c7c6fb3cc8410a5,22
0xda05f6e8ecdac56b7a208eaf000fabeb4b001949,20
0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f,20
0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f,20
0x66666f58de1bcd762a5e5c5aff9cc3c906d66666,19
0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec,19
0x840de9986997435983f3d827df933638f1ed23d7,18
0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935,18
0xe0deacd9aa484e0cb3a370da4276570c29a7ba04,17
0x424929525a9f36897cdd3235023c13a2ea7d7218,16
0x605725f269e987ac59fead9cd39dc9158cf0de45,16
0xc67db0df922238979da0fd00d46016e8ae14cecb,16
0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2,15
0xc6021b536a50f8c3b5ed7e13a31a8bcf232c1688,15
0xf696ab3e4f9d52482b8350ffae67d21fda78e601,15
0xc883a79e8e4594c4f89434edb754a10da2311139,14
0xffbd08371fae1e00e28be21d7a274790ba2dbaf6,14
0x7ad53bba1004e46dd456316912d55dbc5d311a03,13
0x6b4df334368b09f87b3722449703060eef284126,13
0x27677a95f17de170fd4cbac47712784fa3be4d02,13
0x4f773f3fc89b73b34fb57ebc667a245d5e3812f6,13
0x4af79ffcabb09083af6ccc3b2c20fe989519f6d7,12
0xafcdc974c204897829538151666ab75bb5b001cf,71
0x3ffe6dbd96fcfd60279e301364e1f83c2e62a019,88
0x423f2d67c1d03c7e8cbbf20013586215ab88b25c,68
0x6bfd5617b3b71d69d7a50ba730cceed0eec28ce0,34
0xade56f21826aa8877ef1ed056ded9b35cb583b2b,83
0x990bfb3e81ebf9bbee68797e815098fa800862d9,21
0x4e9d80857d64b140eb709786576e9c683037869a,69
0x1d581eae60ed2cd278679524bedc5f8db7ec378f,54
0x7c1fed5f900cc75c77d25879063a1c69a6958c97,42
